id,value,name,date
148,1.1707,MBK_MIBOR_USD_IR_d90,2016-03-15
149,2.2128,MBK_MIBOR_USD_IR_d180,2016-03-15
150,3.509,MBK_MIBOR_USD_IR_d360,2016-03-15
151,0.3847,MBK_MIACR_USD_IR_d1,2016-03-15
152,,MBK_MIACR_USD_IR_d7,2016-03-15
153,,MBK_MIACR_USD_IR_d30,2016-03-15
154,,MBK_MIACR_USD_IR_d90,2016-03-15
155,,MBK_MIACR_USD_IR_d180,2016-03-15
156,,MBK_MIACR_USD_IR_d360,2016-03-15
157,9220.6041,MBK_MIACR_USD_VOL_d1,2016-03-15
158,,MBK_MIACR_USD_VOL_d7,2016-03-15
159,,MBK_MIACR_USD_VOL_d30,2016-03-15
160,,MBK_MIACR_USD_VOL_d90,2016-03-15
161,,MBK_MIACR_USD_VOL_d180,2016-03-15
162,,MBK_MIACR_USD_VOL_d360,2016-03-15
163,10.675,MBK_MIBID_RUB_IR_d1,2016-03-16
164,10.7667,MBK_MIBID_RUB_IR_d7,2016-03-16
165,10.7588,MBK_MIBID_RUB_IR_d30,2016-03-16
166,10.8667,MBK_MIBID_RUB_IR_d90,2016-03-16
167,11.3375,MBK_MIBID_RUB_IR_d180,2016-03-16
168,11.475,MBK_MIBID_RUB_IR_d360,2016-03-16
169,11.4368,MBK_MIBOR_RUB_IR_d1,2016-03-16
170,11.7867,MBK_MIBOR_RUB_IR_d7,2016-03-16
171,12.2853,MBK_MIBOR_RUB_IR_d30,2016-03-16
172,12.6133,MBK_MIBOR_RUB_IR_d90,2016-03-16
173,13.0929,MBK_MIBOR_RUB_IR_d180,2016-03-16
174,13.3929,MBK_MIBOR_RUB_IR_d360,2016-03-16
175,10.9942,MBK_MIACR_RUB_IR_d1,2016-03-16
176,11.1078,MBK_MIACR_RUB_IR_d7,2016-03-16
177,,MBK_MIACR_RUB_IR_d30,2016-03-16
178,11.9054,MBK_MIACR_RUB_IR_d90,2016-03-16
179,,MBK_MIACR_RUB_IR_d180,2016-03-16
180,,MBK_MIACR_RUB_IR_d360,2016-03-16
181,10.8437,MBK_MIACR_IG_RUB_IR_d1,2016-03-16
182,,MBK_MIACR_IG_RUB_IR_d7,2016-03-16
183,,MBK_MIACR_IG_RUB_IR_d30,2016-03-16
184,,MBK_MIACR_IG_RUB_IR_d90,2016-03-16
185,,MBK_MIACR_IG_RUB_IR_d180,2016-03-16
186,,MBK_MIACR_IG_RUB_IR_d360,2016-03-16
187,286193.4248,MBK_MIACR_RUB_VOL_d1,2016-03-16
188,9080.0,MBK_MIACR_RUB_VOL_d7,2016-03-16
189,,MBK_MIACR_RUB_VOL_d30,2016-03-16
190,2504.0,MBK_MIACR_RUB_VOL_d90,2016-03-16
